simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   55879003,                    0.03559756,                    0.00620581,                    0.00620581,                    0.30722560
   55880001,                    6.16914542,                    4.83645242,                    5.62055957,                    5.62055957
   55880002,                    0.18855487,                    0.21346165,                    0.21346165,                    3.37990408
   55880003,                    8.28247132,                    5.37776291,                    5.37776291,                    7.59424887
   55880004,                    0.76896860,                    0.19523024,                    0.19523024,                    0.44822500
   55881001,                    0.23871235,                    0.12876896,                    0.12876896,                    4.93436917
   55881002,                    6.67367953,                    1.71398579,                    1.71398579,                    4.26833784
   55882001,                    0.33080571,                    0.17844702,                    0.17844702,                    6.83841231
   55882002,                    0.08270068,                    0.12731204,                    0.12731204,                    2.14270964
   55884001,                    0.27550245,                    0.23789567,                    0.23789567,                    0.28386762
   55885001,                    0.43591594,                    0.59177007,                    0.59177007,                    1.36275661
   55885002,                   10.76244921,                    9.97050660,                    9.97050660,                   25.33114558
   55886001,                    8.46532193,                    5.63395914,                    9.56450105,                   21.92810217
   55887002,                    0.25515970,                    0.15801797,                    0.15801797,                    0.54495090
   55890001,                    4.01968078,                    1.44693242,                    1.44693242,                    1.44693242
   55891001,                    4.18111913,                    4.04830234,                    4.04830234,                    6.85552586
   55891002,                   39.72008118,                   42.79229084,                   53.48675804,                   67.42524169
   55892001,                    3.57610192,                    3.53995914,                    3.53995914,                    7.11313171
   55893001,                    0.21750370,                    0.21750370,                    0.21750370,                    1.10167551
   55894001,                    3.89632879,                    3.89632879,                    3.89632879,                    6.79855195
   55895002,                    1.63266410,                    1.50595645,                    1.50595645,                    1.50595645
   55896003,                    0.21322399,                    0.19673662,                    0.19673662,                    0.19673662
   55897001,                    6.14902149,                    5.99008889,                    5.99008889,                    9.95491316
   55898001,                    3.47270579,                    1.28105078,                    1.82632279,                    2.01073070
   55898002,                    0.03572215,                    0.03425846,                    0.03425846,                    0.05913285
   55899001,                    3.76102254,                    3.01801659,                    3.01801659,                    6.77316647
   55900001,                    3.81041169,                    5.17275786,                    5.21800833,                    8.38631789
   55900002,                    3.20312090,                    3.98424773,                    3.98424773,                    8.29270109
   55900003,                    4.39216066,                    5.46325184,                    5.46325184,                    8.23804223
   55900004,                    0.75455643,                    1.02405642,                    1.02405642,                    1.40019697
